target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
FGFR1 0.40598481997909 0.000220614988911816 0.406198738592112 0 0.500476306977719 0.907820787271269
EDNRA 0.309997743046747 0 0.310295483773527 0 0.500848987188554 NaN
EPHB3 0.434174137389694 5.29085432128706e-05 0.43447586306234 8.31690439404342e-05 0.500743165330635 0.323563766379192
KLB 0.381293574822117 0 0.381382657281342 0 0.500280144375809 NaN
CCR5 0.280863487322809 0 0.281221316262605 0 0.500929455778237 NaN
CLEC2D 0.403286859179954 0 0.404612930452081 0 0.502931949945272 NaN
CD72 0.763072105161179 9.33557292291387e-05 0.764481979779059 0.00174598702530447 0.507624479940252 0.0953787653282415
RTN4RL1 0.945493746004444 0.000122569539706641 0.945833026318853 4.99053705056207e-05 0.501323632268176 0.749323206773956
RELT 0.513515193269034 0 0.513649698616634 0 0.500305030398606 NaN
P2RY8 0.260582694905142 0 0.260790823475791 0 0.500598139769487 NaN
LPAR5 0.393515058134549 0 0.393758354602344 0 0.500681173254617 NaN
MET 0.367861008276119 3.14806387519573e-05 0.368018660657551 4.05003550802086e-05 0.500474246966701 0.424221486130713
ITGAV 0.891615502268572 5.02265453877215e-05 0.891926468595164 3.62972986915233e-05 0.501423835928824 0.587533849457006
HMMR 1.13225995463668 0.000309917022443551 1.13264986949293 0.000205224485227284 0.502066723652837 0.659458585831711
TREM2 1.01783736686036 0.00053100025834264 1.01813505114715 0.000500055629625351 0.502063616278034 0.533604850051456
IL11RA 0.262150564243737 0 0.262355319182021 0 0.50059038286988 NaN
ACVRL1 0.387622628092291 0 0.388117838824498 7.59178254642556e-05 0.501363792858515 0.046434385329826
ROBO3 0.194450052671196 0 0.194667024472436 0 0.500774869262537 NaN
INSR 0.812721762993471 5.52857448656407e-05 0.812932943944393 8.97767975823749e-06 0.501177893802044 0.951564797702893
CD36 0.508999094074452 0 0.510819046692916 0 0.504693157381653 NaN
CD4 0.449775601119401 0.00038367161141204 0.449953541194856 0.000391377055113162 0.500549718065492 0.490222635609326
MC1R 0.335108882082659 0 0.335469275974191 3.30857976474919e-06 0.500950734368806 0.0881837674313546
GPR34 0.259849205856165 0 0.260589388566162 0 0.502124780176267 NaN
CD2 0.76940570675495 2.59104096242524e-05 0.770339610479908 0.000159499744270652 0.504048089461643 0.213079206541519
