target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
TNFRSF19 0.00902348541366021 0 0.00902534817824707 0 0.500090378640335 NaN
EDNRA 0.0360454794195742 0.000397831097379353 0.036049746575986 0.000402247972458392 0.50014738594068 0.496928387081031
FGFRL1 0.0254114510746261 0 0.0254216046301169 0 0.500288181223117 NaN
LILRB2 0.0266660462180195 5.75888930095303e-05 0.0266728203258143 6.17524968234196e-05 0.500275525745979 0.480609213789429
FPR1 0.0298944669475326 0 0.0300725381857338 0 0.504023723699359 NaN
CDON 0.0223382974361479 0 0.0223421762707417 0 0.500112973493828 NaN
DDR2 0.0560280801867722 5.21866065325005e-06 0.0560558208683471 0.000256065113821724 0.500812231040262 0.176472822842203
GRM5 0.0109899569889127 0 0.0109918884448714 0 0.500076394899335 NaN
NGFR 0.0359798431430044 4.89138954561041e-05 0.0360909448077816 5.46688616588464e-05 0.50383341507678 0.464596732412064
OXTR 0.00453300661716463 0 0.0045335668244695 0 0.500036054876057 NaN
TLR6 0.0154140628675076 0 0.0154169288706237 0 0.500105213408478 NaN
CCRL2 0.0310523454285967 8.94545518026479e-06 0.0310565583626304 3.98043097464829e-06 0.500091189813952 0.689518454953643
CCR5 0.00902204025570942 0 0.00902257149430863 0 0.500025773276907 NaN
CD4 0.0511046861458935 0.00189833977989136 0.0511234032139701 0.00195912555542701 0.50056250547771 0.4843133322887
TNFRSF21 0.0393863869516903 0 0.0393964914990152 0 0.500315564862121 NaN
FSHR 0.013469435937089 0 0.0134705380122627 0 0.500046933208125 NaN
ITGA5 0.0433626090219714 0 0.0433715973442462 0 0.500243887710672 NaN
IL2RG 0.0268753042308183 0.00114172368744412 0.0268776567215603 0.0011480905142913 0.500097069487553 0.497679389641623
AGTR1 0.0284317427848675 0 0.0284362310826645 0 0.500165743798655 NaN
NOTCH3 0.0260253268599042 0 0.0260298409045773 0 0.500148717822981 NaN
PLXNB2 0.134180427551538 0.00514463833382384 0.134148264759145 0.00633405569425358 0.499185703112291 0.3910492967018
HRH4 0.00902310910641247 0 0.0090244031789798 0 0.500062785233999 NaN
IL12RB2 0.0241422346428067 0 0.0249835764421395 0 0.530401520405683 NaN
CD47 0.187891908813472 0.0155580063005631 0.187908659240258 0.0153754541746389 0.500420623632277 0.509673542778682
FZD2 0.00902264739750219 0 0.00902354993084334 0 0.500043787879461 NaN
