target intercept intra para.100 p.intercept p.intra p.para.100
MBC 43.7711272924664 -53.0896517264454 0.749519736264721 1.21329226784176e-13 1.56815618190916e-13 4.30788217032159e-151
Endothelial 0.547968288575618 -60.1773107975524 0.400159089514056 3.41778132823078e-19 6.90696718831164e-19 2.22256651420476e-27
Hepatocyte 2.22717156236433 -56.5545809805975 0.512094352259007 8.81295569899901e-15 1.40780927975256e-14 1.06974055189405e-55
Fibroblast 0.753075593873918 -51.0160490404645 0.444223959857082 5.96255753925435e-10 8.761535989363e-10 3.88712793141038e-43
Macrophage 1.96509821442272 -54.2212487681669 0.488195275325283 6.13945369449551e-15 1.02888715078285e-14 3.96529121385002e-44
B 0.000665854097434304 -58.4608856418654 0.0597582468432719 1.26575437305782e-12 2.83598247951576e-12 0.413261481548673
Monocyte 0.859469970322402 -50.408484593652 0.342270535111683 6.41661640074971e-11 1.08842763626179e-10 4.6487958181373e-17
NK 0.139406950899487 -55.5713678461629 0.147133079673666 2.29456480125842e-17 6.61342047733109e-17 0.00182195125952092
B.plasma 1.04880177306454 -51.0702013741915 0.441090691172079 4.82653939090356e-13 8.17009027718098e-13 1.70325776541413e-37
T 2.17331631317674 -52.2721735621129 0.420364876364573 4.95374520776808e-13 8.5143883164489e-13 2.79344770539278e-27
