target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Hypoxia 0.890500311014986 20.4787493817292 0.788384818038539 37.5719762385019 1.31541080915039e-06 2.75424283824855e-10
Androgen 0.813690442397155 33.6735699971084 0.812975757326297 33.7883854468826 0.467242855452901 0.470801045588452
PI3K 0.805317836618037 34.9578020685125 0.803982718348986 35.1819463412507 0.445387002133956 0.439977982883352
NFkB 0.591343218830183 64.9197035111434 0.591390148231995 64.9138425196346 0.502466099741063 0.502600751565869
Trail 0.93385736823329 12.6088501762693 0.933296199094207 12.712999587122 0.476269235792162 0.467529507428011
JAK.STAT 0.758821956018515 42.1529192049509 0.706464130811847 49.7610985195476 0.000189136070980159 0.000207355708481313
p53 0.915892737047616 15.9364471672577 0.897243325469856 19.309254219235 0.0949207704269959 0.00673961628631019
TGFb 0.821708901628164 32.3410956212136 0.819552194534755 32.691522169994 0.430647468471521 0.42253779169366
EGFR 0.889414027445517 20.65574762631 0.888031569775547 20.8917046896091 0.464079571654886 0.441215597517644
VEGF 0.99892620430981 0.189356800094355 0.998628914825111 0.273852066296032 0.491604932957614 0.198310207325982
MAPK 0.787908476009227 37.7193882111452 0.784160553016767 38.305577913906 0.362324685560007 0.314054785162314
TNFa 0.565357495981974 67.9248405955543 0.564705405675663 67.9947710451764 0.481107827257272 0.467246022751904
Estrogen 0.975072044448949 4.81817258489423 0.972818828523079 5.25593028933167 0.408447013367988 0.344547832706745
WNT 0.993918830106862 1.11237521702134 0.993974427672787 1.09816053841188 0.501826370890544 0.52120555962589
