target intercept intra juxta.15 para.100 p.intercept p.intra p.juxta.15 p.para.100
CD274 -1537.35481481858 1.07045564170326 -0.0377117545666306 0.0562970993229619 5.79997314791265e-56 0 2.4965467880067e-08 4.96808090519717e-32
FOXP3 -67.8265656040443 1.10849612915137 -0.0341434389644958 -0.0163493354639014 1.48557681724889e-15 0 3.86237074530979e-05 0.0132283113009664
CD40 -375.15696863351 1.0429860682906 -0.0629997936096061 0.156865083229853 1.14257516749036e-210 0 1.8512445433992e-29 2.19262492399314e-170
THY1 -1208.80631382014 0.938665769130293 -0.0294623775015075 0.340963528377516 0 0 1.33904287673556e-05 0
CXCR5 -100.684476479908 1.11884762519681 -0.0976679313079403 0.0173245722175591 2.86508282019963e-36 0 9.109225154256e-177 8.6100742879714e-08
ITGA6 -423.467069513411 0.992746308324689 -0.068821191808216 0.236423413445171 5.69564331704314e-228 0 7.84203977611089e-23 0
PDPN -808.980816356616 1.07947767332638 -0.0908421250851794 0.407860453919543 0 0 9.59522418095579e-27 0
CD19 -145.142136934439 1.08898109183804 -0.00233757190995929 0.11465417709659 1.7471951600376e-151 0 0.793477852199593 1.51970276048834e-60
CD5 -54.489083657354 1.06666357849049 -0.0392050071006019 0.0265394092588062 1.99741142263455e-10 0 8.0771921098388e-05 0.00178052944831328
VIM -447.177675534618 1.12733110077379 -0.173969630322017 0.108057819049911 2.12770866619228e-29 0 9.05987847710604e-95 1.20552222867089e-42
CD4 -147.872083465493 1.11340648834813 -0.0495105280813131 0.0346004087685841 1.90947766346241e-51 0 6.32391110115923e-12 6.88833182330718e-08
NCAM1 -222.644906953726 1.05691466676209 0.00392538167969776 0.0307233453801933 2.96061982162117e-117 0 0.384717424236786 5.82071124644147e-12
FUT4 -166.501675499487 1.10468568334303 0.0197963160176683 0.160949273788615 1.38738248906618e-198 0 0.000365230403089407 2.94906026669066e-238
CD36 -244.611580814016 0.972721133215902 0.0954184489019473 0.509523652960908 4.84785485773283e-302 0 1.90702895454283e-15 0
CD69 -130.989130587386 1.05291998655993 -0.0116661037321147 0.0969177924401274 1.40967138961592e-38 0 0.198860846575863 9.13504166790715e-30
FAP -131.370798540509 1.11427404663313 -0.0995517799670067 0.0308335560180857 1.13480417405114e-48 0 1.37938521267428e-162 4.07162102142551e-19
KIT -34.500934292802 1.10659127833592 -0.00701594808302239 -5.13630377295843e-05 6.71165765367506e-22 0 0.498240696763907 0.994784788954426
PDCD1LG2 -58.4729441403037 1.1596873940974 -0.0179910813078016 0.0160600343019821 3.51440147251245e-112 0 0.0047327623924022 0.00230883151291539
ISG20 -116.328564216002 1.09411705140917 -0.0347758595979357 0.0352618746488151 2.656286209179e-25 0 0.00065983943229882 3.67122333500221e-06
