target intercept intra juxta.15 para.100 p.intercept p.intra p.juxta.15 p.para.100
TMEM45B 0.077668950541492 0.073671406227606 0.031755689525435 0.00629127909448898 1.81386447869319e-33 0.0210147964119986 0.220096008998277 0.743130683174296
CTLA4 0.0750566041983074 0.0881705930110898 0.0221734681295853 0.00984324105720749 3.76294168041264e-32 0.00466872527752402 0.398155811228162 0.608138354034614
BANK1 0.126397312267517 0.109626909794974 0.0466411252608793 0.00145441632302292 1.37426484125398e-39 0.000274596509036298 0.0611173802173846 0.937513494869723
ACTA2 -0.937525362393516 0.937864035309443 0.143382965210035 0.290519558820326 5.21270453650645e-87 0 8.65820475899755e-12 2.06917191511527e-91
GRB7 0.120536938921867 0.107437210533364 0.0762153953755569 0.0498269960928225 4.54455211941414e-33 0.000446700448407935 0.00183273818765023 0.00549437735864627
MYL9 -0.464720496726291 0.891576660981893 0.165525830110454 0.157757441929246 4.901000161123e-26 0 6.15573574783078e-13 1.07489691992905e-24
RB1 -0.293985872151245 0.830753840776115 0.144152950183985 0.129770783753243 1.12053192723529e-05 0 2.67241021433849e-08 5.15112092702355e-16
CD68 0.140263978425896 0.244608507890912 0.0789011867229066 0.0354747128015437 2.07709218225057e-26 1.78510110422258e-18 0.00137974932220643 0.04896740814271
MAPK13 -0.301343961260205 0.831986232309138 0.144749052239477 0.14440472507164 3.71661676912569e-11 0 2.50334478726271e-10 5.5182891196491e-20
SOX18 0.0279834608026967 0.532506437780671 0.125429798532606 0.0669739242210806 0.00254302635289011 5.42332117187302e-101 2.36024664499145e-07 0.000183113930581735
FAT1 0.163418251220418 0.491654457244226 0.0624631856087968 0.106832063637508 5.57614686785255e-09 1.1728656341237e-76 0.0106142731616069 1.38621373012837e-10
PBK -0.175730110521658 0.850930381657552 0.17570967898144 0.131010079868605 3.74896877940349e-21 0 2.23532478299924e-17 2.51147630321415e-17
IL2RA 0.150735741521173 0.18254371508366 0.0670509427846438 0.00928798499166312 1.06614396463175e-34 4.52143324838792e-10 0.00797036483248002 0.605501718566472
KRT19 -1.40167482986014 0.890161468630754 0.121380992339962 0.236010457827731 6.8349825562677e-72 0 1.49865913582853e-11 6.3031561379561e-67
CD14 0.106361583897013 0.406335495114974 0.0746659716838425 0.0296015089792862 3.3163077300698e-15 7.3692928631218e-58 0.0017371713433203 0.0975485703956285
CEACAM1 -0.111590110798797 0.700812352568574 0.164398429875399 0.17260786033052 7.88315451638337e-05 7.05134636762264e-235 1.10375319901692e-12 3.57641614499345e-27
BCL2 -0.295933968081002 0.779531383602031 0.188581295989439 0.161488009966292 5.6365761592496e-12 0 6.33564496248723e-16 4.48810041558014e-25
CTSL 0.0470136879574723 0.62612256818428 0.131856352488675 0.133271813067791 0.206795905223714 3.83027093567928e-160 5.33063726899536e-08 2.98193261587643e-16
ACTG2 -0.0675741167539759 0.594721022421361 0.112358192582448 0.293983903445503 0.00136417922010411 1.27997205731556e-166 1.07270209363955e-06 8.49320253376907e-82
TMSB10 -1.74442740565448 0.915534351935898 0.164623899644225 0.251719673402829 8.6894486957027e-57 0 6.95139916473619e-14 8.68691412738653e-69
MYLK -1.03796633072083 0.980335641769518 0.132215172977727 0.222717571665775 3.85114999802208e-83 0 6.73564187383087e-11 2.07271081743592e-56
GSN 0.216681349123219 0.210241341853606 0.0744111019311441 0.0150746231167792 1.15897214694785e-34 6.7698810707218e-14 0.00268479545943486 0.393589877507154
KRT5 0.0932550739792174 0.000885447867261266 0.003762472853121 0.0831281141627129 7.44419599648677e-38 0.978146310712515 0.880673621755443 1.17182622535308e-05
CD69 0.10402842213624 0.432529666198659 0.0867504010374385 0.0532739746612528 8.03836715394613e-12 1.70111163172118e-61 0.000243098746163373 0.00213782922104092
RPL13 0.788973674463893 0.0963219495170159 0.0161076256509768 0.0973701746421319 3.72219674576098e-59 0.000977140477565072 0.55514111569297 6.94039547698578e-09
PDCD1 0.163056258806068 0.076225755978053 0.039180990083584 0.0644194410857557 5.49808393106146e-41 0.0134126688000501 0.115455684627923 0.000390002779845093
FCGR3A -0.068902184979789 0.708588202554265 0.136825762225615 0.139048209032205 0.127664643061972 9.58926243536548e-216 4.44156870898099e-08 1.2159643725552e-17
MAPK3 0.29456776686481 0.0875204091528306 0.112861451838111 0.0683918284265718 1.25461228153721e-41 0.00351992845969464 3.50833099038142e-06 7.39081584954409e-05
SOX4 -0.378684814449653 0.756481817019582 0.0954345391798664 0.284485204142335 9.29672513519807e-07 2.31201949409117e-247 0.00078313223164988 1.15188527215903e-76
CXCR5 0.0658988351767599 0.0413965389895321 -0.00473169294187209 0.0252083403119049 6.79836499683068e-33 0.205312668804158 0.852800161256021 0.181746402410955
CENPF -0.875791541241103 0.864989628835873 0.235912742024946 0.298157356380996 1.73399791500076e-201 0 4.94664563555677e-46 1.06964270955862e-111
BGN -1.15395239860195 0.982326001395419 0.0210602253849917 0.287648886625966 1.2710778542885e-59 0 0.302074582020919 6.38209086377779e-93
IL32 0.0718060356829489 0.49048313677629 0.0581267223814512 0.170771005922194 8.3666763259616e-05 4.61021907191226e-92 0.0182433378292442 8.7100645279345e-25
KRT7 0.0663747266502013 0.0949799349169115 0.0379227113054975 0.122058817308121 2.2536952368789e-24 0.00153684991173484 0.127204066827329 2.44867043475782e-11
GZMB -0.0421629270060931 0.788744774720754 0.121883262439138 0.209317978187439 1.06160486088462e-07 2.51946441982748e-282 7.86777511464891e-08 1.12357214489185e-33
ACTR3B 0.0815879975133513 0.634126705359556 0.103739021374719 0.120687922474808 0.028312155489213 1.45227061042719e-172 2.65501641874887e-05 1.36361889872576e-13
CD163 -0.59312567300681 1.04841130878638 0.0690709396969968 0.267112772667455 2.74429463237991e-66 0 0.00132778269801767 4.36689246643189e-75
CD7 0.121814721792562 0.0515472420577923 0.0196914873973897 0.00187835370322453 7.5371810045221e-45 0.0972384311221426 0.438195475848171 0.918889437202249
TP53 -0.135741631685886 0.764316775912097 0.169687119939052 0.100480940401098 0.10133416441251 9.70375458252041e-253 1.20707489026659e-09 7.15491413977956e-10
MYO10 -0.0721990306927967 0.803823512634363 0.0970233566989077 0.0994964214473983 0.0132218136868958 0 3.5261037314662e-05 1.13265804589712e-09
PDPN 0.0729092116476916 0.0128934995915852 -0.0444445751764064 0.0249462129697303 1.82629693416026e-39 0.68955625896006 0.0873973524041764 0.20277295579184
FCN1 -0.0676071752740173 0.69890740870268 0.0797956897505948 0.382104312550642 1.2611209761449e-10 7.16081496069333e-231 0.000799920609002146 7.32664156363705e-112
BICC1 0.0688136848554135 0.0474537049062126 0.0556892157064351 0.0131715520139025 3.66848848282653e-31 0.144379249572411 0.0282813470468908 0.493297261147599
RPL18 0.370197096303296 -0.0273457340471112 -0.00562618185102576 0.0202370389553011 1.16458968851846e-75 0.370027049659877 0.821594252821479 0.249595588031344
CXXC5 0.0224881060593548 0.546455008770433 0.168364247054564 0.142972228846972 0.319909493251019 1.39775940524929e-115 4.47938131078971e-13 1.35596612353318e-18
IL3RA 0.096889750358472 0.238296983400615 0.042854580939403 0.0535523834910285 1.52525804757809e-23 6.61706575682089e-17 0.0856894080441937 0.00340083173095001
SPDEF 0.0230599200400285 0.494848229522295 0.126379843879116 0.216878807968744 0.254344333231473 8.22639612462007e-91 1.39057127187764e-07 3.40035347686469e-42
KRT8 -0.347375762338163 0.726866601091302 0.201095623356022 0.199442588041739 2.96185492398053e-09 1.54909594081579e-263 3.80364765794112e-16 3.35288547788923e-38
HIF1A -0.719119410282229 0.901369920244975 0.161853947888015 0.154926844744553 1.60892482523733e-12 0 1.68164716204953e-08 2.35178521097748e-23
TPM2 -0.486727305628522 0.782479343669891 0.219559801611185 0.216167326176616 1.65650442769769e-30 0 1.0739241544258e-22 3.97675293859539e-48
MDM2 0.0685751254396445 0.474115647972276 0.119183062534389 0.232586885334029 0.043401739816774 3.00994617063825e-76 1.27514527417708e-06 7.63632639719215e-47
FCRL5 0.0584920108650644 0.151843422695725 0.0732529144432275 0.0699309254381944 1.61095311881591e-19 1.03465254212694e-06 0.00432901515318445 0.000196530874603668
ADGRL4 -0.0359975883724167 0.783096010652839 0.114303194293378 0.0612391133146234 0.0855926560094173 0 7.51563245161326e-07 0.000213712228692875
MYO5B 0.120666419847667 0.248953162555206 0.123448064257613 0.155835319024876 2.53238702370942e-15 5.38293609228652e-19 2.11522841077547e-07 3.40962660420315e-20
CD74 -2.93542678923522 0.855508288915825 0.139608789480327 0.504214508659212 3.07463475460833e-183 0 1.29299495352251e-12 0
CD19 0.159454804731748 0.13504404487041 -0.0555316806007201 0.0154465379551402 3.49592215726103e-49 6.48689810750086e-06 0.0288203384098366 0.397953088311006
CEP55 -0.39893676733101 0.926184759990808 0.17082686448169 0.170766383284874 7.18029182969374e-62 0 1.09773442685528e-19 8.46776149967917e-31
PDZK1IP1 0.254228665422057 0.448546524946653 0.171049769078656 0.0454128363257034 5.52608787253736e-12 1.07233019026596e-69 3.28779099959446e-12 0.00747879978792208
BIRC5 0.0378568505042351 0.431072324200234 0.164524739701281 0.0823268321501919 3.18691319638829e-05 8.99817115861247e-63 1.41608957390981e-12 2.63831105074467e-06
RPSA -0.522413466702144 0.862657121401593 0.119088749185952 0.155563818308986 2.83932836150561e-06 0 1.22768173195877e-05 8.72958299071865e-24
DCN 0.128154248642647 0.203318318060897 0.0204073891381855 0.107916410718324 4.30046897111287e-27 1.22958229291501e-12 0.422977663376343 9.02897655943822e-10
IL7R -0.0579793030872031 0.784574605864496 0.16140370495935 0.334438657534771 5.52592244819719e-18 0 4.94862303974625e-14 2.6009815030243e-90
SPP1 0.0641338890872688 0.0040850389968554 -0.0524502463477475 0.0578992443976988 1.93682547619997e-35 0.901302674876921 0.0459585370905808 0.00248628006242817
